,wficn,date,ret
0,100003,1993-07-30,-0.011
1,100003,1993-08-31,0.045500506
2,100003,1993-09-30,0.047388781
3,100003,1993-10-29,-0.012003693
4,100003,1993-11-30,-0.031775701
5,100003,1993-12-31,0.048262548
6,100003,1994-01-31,0.032228361
7,100003,1994-02-28,0.002676182
8,100003,1994-03-31,-0.071174377
9,100003,1994-04-29,-0.005747126
10,100003,1994-05-31,-0.052023121
11,100003,1994-06-30,-0.089430894
12,100003,1994-07-29,0.004464286
13,100003,1994-08-31,0.093333333
14,100003,1994-09-30,0.007113821
15,100003,1994-10-31,0.044399596
16,100003,1994-11-30,-0.035748792
17,100003,1994-12-30,0.036072144
18,100003,1995-01-31,-0.040618956
19,100003,1995-02-28,0.05141129
20,100003,1995-03-31,0.049856184
21,100003,1995-04-28,-0.002739726
22,100003,1995-05-31,0.012820513
23,100003,1995-06-30,0.095840868
24,100003,1995-07-31,0.101485149
25,100003,1995-08-31,-0.005992509
26,100003,1995-09-29,0.061793519
27,100003,1995-10-31,0.016323634
28,100003,1995-11-30,0.041201117
29,100003,1995-12-29,0.002012072
30,100003,1996-01-31,-0.002677376
31,100003,1996-02-29,0.047651007
32,100003,1996-03-29,0.00768738
33,100003,1996-04-30,0.087094723
34,100003,1996-05-31,0.037426901
35,100003,1996-06-28,-0.06313416
36,100003,1996-07-31,-0.118531889
37,100003,1996-08-30,0.06894198
38,100003,1996-09-30,0.053001277
39,100003,1996-10-31,-0.051546392
40,100003,1996-11-29,0.052429668
41,100003,1996-12-31,-0.01296222
42,100003,1997-01-31,0.036039761
43,100003,1997-02-28,-0.034115166
44,100003,1997-03-31,-0.073586005
45,100003,1997-04-30,0.00952394
46,100003,1997-05-30,0.107010228
47,100003,1997-06-30,0.042638967
48,100003,1997-07-31,0.064747173
49,100003,1997-08-29,0.001914054
50,100003,1997-09-30,0.073471686
51,100003,1997-10-31,-0.048224719
52,100003,1997-11-28,-0.005012057
53,100003,1997-12-31,0.007482913
54,100003,1998-01-30,-0.023473066
55,100003,1998-02-27,0.072763358
56,100003,1998-03-31,0.041483644
57,100003,1998-04-30,0.008213958
58,100003,1998-05-29,-0.058993812
59,100003,1998-06-30,0.019326228
60,100003,1998-07-31,-0.062160298
61,100003,1998-08-31,-0.221072125
62,100003,1998-09-30,0.077872328
63,100003,1998-10-30,0.063913429
64,100003,1998-11-30,0.055408786
65,100003,1998-12-31,0.093977157
66,100003,1999-01-29,-0.002903026
67,100003,1999-02-26,-0.056774994
68,100003,1999-03-31,0.026633326
69,100003,1999-04-30,0.030395248
70,100003,1999-05-28,0.037421359
71,100003,1999-06-30,0.055471918
72,100003,1999-07-30,-0.011833287
73,100003,1999-08-31,-0.033970779
74,100003,1999-09-30,-0.022062941
75,100003,1999-10-29,0.039427423
76,100003,1999-11-30,0.04127922
77,100003,1999-12-31,0.074675089
78,100003,2000-01-31,-0.043519958
79,100003,2000-02-29,0.106967329
80,100003,2000-03-31,0.039874882
81,100003,2000-04-28,-0.02790365
82,100003,2000-05-31,-0.013760015
83,100003,2000-06-30,0.063006669
84,100003,2000-07-31,-0.006856199
85,100003,2000-08-31,0.12165586
86,100003,2000-09-29,0.007670645
87,100003,2000-10-31,-0.043237558
88,100003,2000-11-30,-0.111462555
89,100003,2000-12-29,0.120662533
90,100003,2001-01-31,-0.009113275
91,100003,2001-02-28,-0.062939501
92,100003,2001-03-30,-0.084638012
93,100003,2001-04-30,0.125261132
94,100003,2001-05-31,0.009498595
95,100003,2001-06-29,-0.012444102
96,100003,2001-07-31,-0.056614618
97,100003,2001-08-31,-0.057805345
98,100003,2001-09-28,-0.124267211
99,100003,2001-10-31,0.03946656
100,100003,2001-11-30,0.040563561
101,100003,2001-12-31,0.040658685
102,100003,2002-01-31,-0.017578127
103,100003,2002-02-28,-0.004100728
104,100003,2002-03-28,0.066856018
105,100003,2002-04-30,-0.006153982
106,100003,2002-05-31,-0.009240577
107,100003,2002-06-28,-0.076812864
108,100003,2002-07-31,-0.090770899
109,100003,2002-08-30,-0.002813076
110,100003,2002-09-30,-0.072269733
111,100003,2002-10-31,0.044938721
112,100003,2002-11-29,0.045879905
113,100003,2002-12-31,-0.036617664
114,100003,2003-01-31,-0.021825514
115,100003,2003-02-28,-0.015545982
116,100003,2003-03-31,0.001902415
117,100003,2003-04-30,0.056056336
118,100003,2003-05-30,0.080063937
119,100003,2003-06-30,0.007736469
120,100003,2003-07-31,0.024811436
121,100003,2003-08-29,0.033325136
122,100003,2003-09-30,-0.018582289
123,100003,2003-10-31,0.080616628
124,100003,2003-11-28,0.0335357
125,100003,2003-12-31,0.022828498
126,100003,2004-01-30,0.019409256
127,100003,2004-02-27,0.02257925
128,100003,2004-03-31,-0.000694055
129,100003,2004-04-30,-0.034567863
130,100003,2004-05-28,0.015018336
131,100003,2004-06-30,0.037369096
132,100003,2004-07-30,-0.046928392
133,100003,2004-08-31,-0.007913527
134,100003,2004-09-30,0.041053384
135,100003,2004-10-29,0.018620436
136,100003,2004-11-30,0.062408904
137,100003,2004-12-31,0.034456339
138,100003,2005-01-31,-0.022858851
139,100003,2005-02-28,0.046112843
140,100003,2005-03-31,-0.016896997
141,100003,2005-04-29,-0.044854682
142,100003,2005-05-31,0.057874867
143,100003,2005-06-30,0.021240395
144,100003,2005-07-29,0.058939478
145,100003,2005-08-31,0.006726667
146,100003,2005-09-30,0.028479264
147,100003,2005-10-31,-0.030933914
148,100003,2005-11-30,0.041425531
149,100003,2005-12-30,0.01312946
150,100003,2006-01-31,0.05760303
151,100003,2006-02-28,0.001671164
152,100003,2006-03-31,0.019961554
153,100003,2006-04-28,0.011977108
154,100003,2006-05-31,-0.045644156
155,100003,2006-06-30,-0.008421121
156,100003,2006-07-31,-0.018786922
157,100003,2006-08-31,0.031302847
158,100003,2006-09-29,0.017451983
159,100003,2006-10-31,0.026485307
160,100003,2006-11-30,0.029596597
161,100003,2006-12-29,0.005677029
162,100003,2007-01-31,0.023009635
163,100003,2007-02-28,0.007956615
164,100003,2007-03-30,0.015668116
165,100003,2007-04-30,0.041524948
166,100003,2007-05-31,0.036493154
167,100003,2007-06-29,-0.023583869
168,100003,2007-07-31,-0.039913629
169,100003,2007-08-31,0.011760502
170,100003,2007-09-28,0.025481131
171,100003,2007-10-31,0.015335784
172,100003,2007-11-30,-0.04504775
173,100003,2007-12-31,-0.013662924
174,100003,2008-01-31,-0.052237196
175,100003,2008-02-29,-0.041961878
176,100003,2008-03-31,-0.008372768
177,100003,2008-04-30,0.033715042
178,100003,2008-05-30,0.042957534
179,100003,2008-06-30,-0.09123172
180,100003,2008-07-31,-0.016457677
181,100003,2008-08-29,0.007973958
182,100003,2008-09-30,-0.129544631
183,100003,2008-10-31,-0.181672327
184,100003,2008-11-28,-0.084810715
185,100003,2008-12-31,0.043184626
186,100003,2009-01-30,-0.048864678
187,100003,2009-02-27,-0.076875551
188,100003,2009-03-31,0.08149893
189,100003,2009-04-30,0.138036387
190,100003,2009-05-29,0.042392143
191,100003,2009-06-30,-0.007068486
192,100003,2009-07-31,0.09481435
193,100003,2009-08-31,0.034330235
194,100003,2009-09-30,0.055319408
195,100003,2009-10-30,-0.051013862
196,100003,2009-11-30,0.037870911
197,100003,2009-12-31,0.059335401
198,100003,2010-01-29,-0.034850694
199,100003,2010-02-26,0.052699889
200,100003,2010-03-31,0.059151463
201,100003,2010-04-30,0.021354917
202,100003,2010-05-28,-0.073910256
203,100003,2010-06-30,-0.055619679
204,100003,2010-07-30,0.059328813
205,100003,2010-08-31,-0.053179266
206,100003,2010-09-30,0.121490992
207,100003,2010-10-29,0.04344918
208,100003,2010-11-30,0.035638567
209,100003,2010-12-31,0.073883757
210,100003,2011-01-31,0.024053106
211,100003,2011-02-28,0.045061316
212,100003,2011-03-31,0.020643084
213,100003,2011-04-29,0.017832019
214,100003,2011-05-31,-0.023832735
215,100003,2011-06-30,-0.025175833
216,100003,2011-07-29,-0.045144748
217,100003,2011-08-31,-0.09766201
218,100003,2011-09-30,-0.09585027
219,100003,2011-10-31,0.15804065
220,100003,2011-11-30,-0.006161973
221,100003,2011-12-30,-0.01258625
222,100003,2012-01-31,0.062908347
223,100003,2012-02-29,0.039615926
224,100003,2012-03-30,0.007290095
225,100003,2012-04-30,-0.008144673
226,100003,2012-05-31,-0.075476546
227,100003,2012-06-29,0.03267762
228,100003,2012-07-31,0.000184788
229,100003,2012-08-31,0.02039429
230,100003,2012-09-28,0.02211281
231,100003,2012-10-31,-0.004438178
232,100003,2012-11-30,0.014547996
233,100003,2012-12-31,0.027026517
234,100003,2013-01-31,0.057682492
235,100003,2013-02-28,0.016692437
236,100003,2013-03-28,0.046084031
237,100003,2013-04-30,0.001789271
238,100003,2013-05-31,0.019625831
239,100003,2013-06-28,-0.013082944
240,100003,2013-07-31,0.0548017
241,100003,2013-08-30,-0.031267891
242,100003,2013-09-30,0.058536627
243,100003,2013-10-31,0.040902503
244,100003,2013-11-29,0.021298694
245,100003,2013-12-31,0.037521057
246,100003,2014-01-31,-0.021658615
247,100003,2014-02-28,0.076034703
248,100003,2014-03-31,-0.003864078
249,100003,2014-04-30,-0.026949994
250,100003,2014-05-30,0.024153616
251,100003,2014-06-30,0.050761055
252,100003,2014-07-31,-0.031624804
253,100003,2014-08-29,0.048150591
254,100003,2014-09-30,-0.046947253
255,100003,2014-10-31,0.027888311
256,100003,2014-11-28,0.017578201
257,100003,2014-12-31,0.004323673
258,100003,2015-01-30,-0.025338107
259,100003,2015-02-27,0.052118684
260,100003,2015-03-31,0.00235165
261,100003,2015-04-30,-0.006236606
262,100003,2015-05-29,0.006067499
263,100003,2015-06-30,-0.016843547
264,100003,2015-07-31,0.001934095
265,100003,2015-08-31,-0.044841905
266,100003,2015-09-30,-0.027161372
267,100003,2015-10-30,0.078970726
268,100003,2015-11-30,0.019981545
269,100003,2015-12-31,-0.030363521
270,100003,2016-01-29,-0.080238479
271,100003,2016-02-29,0.011590044
272,100003,2016-03-31,0.082357935
273,100003,2016-04-29,0.026407174
274,100003,2016-05-31,0.039811206
275,100003,2016-06-30,-0.015676945
276,100003,2016-07-29,0.057967172
277,100003,2016-08-31,0.013420102
278,100003,2016-09-30,0.010659859
279,100003,2016-10-31,-0.003043366
280,100003,2016-11-30,0.095733826
281,100003,2016-12-30,0.024290484
282,100003,2017-01-31,0.014300048
283,100003,2017-02-28,0.029238301
284,100003,2017-03-31,-0.007802542
285,100003,2017-04-28,0.016735806
286,100003,2017-05-31,-0.006392047
287,100003,2017-06-30,0.023872607
288,100003,2017-07-31,-0.000676554
289,100003,2017-08-31,-0.011510438
290,100003,2017-09-29,0.044739795
291,100003,2017-10-31,0.013234741
292,100003,2017-11-30,0.0442293
293,100003,2017-12-29,0.014095714
294,100003,2018-01-31,0.028068501
295,100003,2018-02-28,-0.027192009
296,100003,2018-03-29,-0.00784396
297,100003,2018-04-30,-0.000264968
298,100003,2018-05-31,0.016315004
299,100003,2018-06-29,0.008022492
300,100003,2018-07-31,0.024632304
301,100003,2018-08-31,0.02853388
302,100003,2018-09-28,-0.016999637
303,100003,2018-10-31,-0.065687317
304,100003,2018-11-30,0.014666405
305,100003,2018-12-31,-0.103774303
306,100003,2019-01-31,0.109212298
307,100003,2019-02-28,0.038207805
308,100003,2019-03-29,-0.008078707
309,100003,2019-04-30,0.037691137
310,100003,2019-05-31,-0.075485826
311,100003,2019-06-28,0.061146198
312,100003,2019-07-31,0.021682998
313,100003,2019-08-30,-0.046043558
314,100003,2019-09-30,0.033518729
315,100003,2019-10-31,0.004918476
316,100003,2019-11-29,0.031305252
317,100003,2019-12-31,0.026714272
318,100003,2020-01-31,-0.021420986
319,100003,2020-02-28,-0.082122359
320,100003,2020-03-31,-0.2023592
321,100003,2020-04-30,0.138599566
322,100003,2020-05-29,0.084871487
323,100003,2020-06-30,0.024205051
324,100003,2020-07-31,0.062248595
325,100003,2020-08-31,0.053038941
326,100003,2020-09-30,-0.023233602
327,100003,2020-10-30,0.012935815
328,100003,2020-11-30,0.159420789
329,100003,2020-12-31,0.047188412
330,100003,2021-01-29,-0.00992667
331,100003,2021-02-26,0.074669448
332,100003,2021-03-31,0.028254132
333,100003,2021-04-30,0.067123801
334,100003,2021-05-28,0.007515328
335,100003,2021-06-30,-0.004696998
336,100003,2021-07-30,0.017767037
337,100003,2021-08-31,0.022504778
338,100003,2021-09-30,-0.02467206
339,100003,2021-10-29,0.062219783
340,100003,2021-11-30,-0.033721902
341,100003,2021-12-31,0.049839651
